gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	regulation
ENSG00000224387	17	2	7	0	3	4	8	2	UP
ENSG00000229393	18	2	1	0	1	2	8	4	UP
ENSG00000157881	1009	2392	1399	329	356	900	1788	1323	UP
ENSG00000272449	36	56	78	17	23	35	15	8	UP
ENSG00000238164	676	259	102	26	94	132	126	98	UP
ENSG00000157873	7361	7325	2466	583	1009	2368	3038	2355	UP
ENSG00000225931	38	26	6	1	13	9	22	8	UP
ENSG00000228037	88	93	36	8	59	23	27	20	UP
ENSG00000157870	329	631	341	62	121	158	358	301	UP
ENSG00000142606	10	3	1	0	1	0	0	1	UP
ENSG00000215912	218	57	23	6	37	72	29	17	UP
ENSG00000177133	0	3	10	3	0	0	0	0	UP
ENSG00000142611	0	148	33	11	0	1	1	1	UP
ENSG00000130762	8	5	2	0	1	3	49	37	UP
ENSG00000272088	10	2	2	0	4	1	7	5	UP
ENSG00000162591	4538	2372	2201	528	424	2132	1453	1100	UP
ENSG00000238260	4	10	19	3	1	14	6	5	UP
ENSG00000158109	1597	3469	1984	475	455	1038	3056	2286	UP
ENSG00000116213	2071	3656	1468	353	351	837	1982	1540	UP
ENSG00000078900	497	113	38	6	39	52	203	196	UP
ENSG00000227589	57	3	0	0	16	37	18	4	UP
ENSG00000235131	7	2	1	0	0	0	1	1	UP
ENSG00000227372	2538	2204	931	203	639	813	1114	796	UP
ENSG00000162592	2	11	1	1	1	2	1	0	UP
ENSG00000235169	37	10	21	2	2	2	3	3	UP
ENSG00000130764	1085	2311	1546	329	300	868	1504	1199	UP
ENSG00000266075	19	9	8	0	4	18	11	10	UP
ENSG00000272153	78	128	69	13	22	82	82	64	UP
ENSG00000116198	1762	4169	2911	636	890	886	3891	2838	UP
ENSG00000169598	520	665	230	56	64	162	227	155	UP
ENSG00000198912	1888	2611	1385	280	238	759	1646	1309	UP
ENSG00000236423	21	28	13	2	11	1	8	4	UP
ENSG00000196581	1	0	1	0	0	7	1	0	UP
ENSG00000131697	1107	1957	659	146	289	282	3051	2397	UP
ENSG00000069424	6384	3877	2679	601	1542	3351	4130	3222	UP
ENSG00000116254	24	44	25	10	9	6	12	11	UP
ENSG00000116251	10486	17244	9817	2162	6564	6922	12891	9191	UP
ENSG00000158286	29	19	20	5	5	19	5	1	UP
ENSG00000116237	264	1638	973	249	154	456	1383	1076	UP
ENSG00000225077	10	6	6	0	2	1	4	0	UP
ENSG00000158292	32	67	7	1	12	62	3	0	UP
ENSG00000097021	103	280	193	43	191	89	359	273	UP
ENSG00000069812	1	0	0	0	0	0	0	0	UP
ENSG00000187017	6	5	125	26	3	11	4	1	UP
ENSG00000215788	201	233	231	46	13	1067	5	9	UP
ENSG00000171680	27	33	16	4	5	30	25	17	UP
ENSG00000162408	2227	2763	1583	416	934	1613	3757	2786	UP
ENSG00000229519	78	40	9	5	2	29	33	20	UP
ENSG00000173662	12	15	4	3	27	5	192	137	UP
ENSG00000204859	1591	3447	2027	478	599	1031	4581	3603	UP
ENSG00000162413	1071	2709	2064	441	4068	1872	4630	3817	UP
ENSG00000116273	499	2407	778	189	459	414	2157	1585	UP
ENSG00000041988	191	949	540	119	145	197	456	372	UP
ENSG00000007923	1412	2778	1689	395	944	1055	1764	1314	UP
ENSG00000237436	5	2	3	0	4	2	4	0	UP
ENSG00000171735	454	802	518	118	290	255	518	328	UP
ENSG00000227950	0	4	2	1	0	2	1	4	UP
ENSG00000270171	1	0	0	0	0	0	0	0	UP
ENSG00000270035	0	0	2	0	0	0	0	0	UP
ENSG00000269978	0	0	2	0	0	1	0	0	UP
ENSG00000049245	1637	2618	1741	400	525	983	2688	1834	UP
ENSG00000269925	87	117	64	12	23	50	101	87	UP
ENSG00000049246	114	123	263	60	545	213	435	327	UP
ENSG00000236266	3	1	1	0	10	3	9	3	UP
ENSG00000049247	1	75	8	3	10	11	0	0	UP
ENSG00000049249	78	715	323	66	39	150	20	12	UP
ENSG00000116288	2155	4277	2469	566	421	946	1931	1292	UP
ENSG00000200344	12	10	4	2	3	4	6	10	UP
ENSG00000116285	56	145	327	73	999	345	222	135	UP
ENSG00000162426	4	6	0	3	17	5	4	2	UP
ENSG00000142599	13804	11882	3976	948	5196	5797	10905	8439	UP
ENSG00000232912	38	39	17	5	22	15	11	11	UP
ENSG00000221083	1	1	1	0	0	0	3	0	UP
ENSG00000270282	4	3	2	0	0	0	6	2	UP
ENSG00000234619	1	4	0	0	2	1	7	3	UP
ENSG00000224315	2	3	3	0	3	0	3	5	UP
ENSG00000226545	1	5	0	0	1	1	4	0	UP
ENSG00000228423	3	3	1	0	3	4	3	7	UP
ENSG00000074800	9250	21995	7599	1701	3811	4073	13311	9701	UP
ENSG00000236269	38	25	6	3	7	7	10	9	UP
ENSG00000230679	11	4	2	0	0	0	0	0	UP
ENSG00000232208	10	27	8	0	3	6	5	1	UP
ENSG00000131686	14	22	0	0	1	41	0	0	UP
ENSG00000142583	21	10	265	61	4	8	8	1	UP
ENSG00000180758	82	324	194	43	28	54	268	194	UP
ENSG00000228526	33	44	26	8	1	4	1	4	UP
ENSG00000234546	3	0	0	0	0	0	0	0	UP
ENSG00000049239	3564	4079	2779	599	1269	2296	2412	2000	UP
ENSG00000171621	14	37	18	9	7	90	0	3	UP
ENSG00000171612	472	711	609	151	917	537	896	632	UP
ENSG00000231181	87	44	27	8	59	38	47	32	UP
ENSG00000188807	338	389	266	55	126	186	377	311	UP
ENSG00000171608	9671	10107	2082	536	3063	6209	4958	3962	UP
ENSG00000179840	9	45	26	8	8	21	13	11	UP
ENSG00000233268	0	0	0	0	1	4	1	4	UP
ENSG00000231789	92	35	27	13	13	15	65	58	UP
ENSG00000171603	6018	7320	2234	525	1587	2598	5474	4280	UP
ENSG00000178585	332	239	136	29	75	89	165	136	UP
