gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	regulation
ENSG00000180113	6	86	1	1	2	4	2	0	UP
ENSG00000146070	14	455	0	0	13	18	7	7	UP
ENSG00000146072	28	19	17	2	1	6	126	90	UP
ENSG00000270761	5	2	5	1	8	0	6	0	UP
ENSG00000198087	3267	4585	2734	608	2813	1827	7061	4931	UP
ENSG00000164393	1	9	3	4	32	1	4	0	UP
ENSG00000153294	0	14	0	2	49	0	1	0	UP
ENSG00000146085	628	1105	620	160	196	355	1038	782	UP
ENSG00000031691	108	511	230	55	92	147	166	127	UP
ENSG00000112077	0	7	870	198	1	0	1	0	UP
ENSG00000096006	0	3	0	0	0	0	0	0	UP
ENSG00000232702	6	6	6	0	2	9	20	17	UP
ENSG00000112118	1747	5676	2966	674	737	1312	3422	2609	UP
ENSG00000170915	141	907	433	82	284	210	348	294	UP
ENSG00000096093	1844	1836	1769	419	1090	975	1266	951	UP
ENSG00000065308	3240	2251	3780	879	2204	1907	7218	5151	UP
ENSG00000225791	108	116	70	25	28	32	61	45	UP
ENSG00000216775	14	47	31	3	183	37	9	9	UP
ENSG00000096092	200	142	56	14	83	56	43	29	UP
ENSG00000170899	19	116	68	12	15	7	8	5	UP
ENSG00000112144	1126	2388	518	129	550	648	1800	1311	UP
ENSG00000112146	2542	5470	2524	569	1145	1461	3359	2443	UP
ENSG00000261745	3	6	15	10	20	5	2	3	UP
ENSG00000137270	142	212	744	157	1004	188	87	65	UP
ENSG00000219074	32	17	37	8	47	18	7	10	UP
ENSG00000218713	129	85	126	27	154	59	19	14	UP
ENSG00000206908	9	6	3	1	12	3	0	1	UP
ENSG00000219163	23	36	41	24	73	38	12	7	UP
ENSG00000012660	10793	15607	21287	4846	12173	12870	7975	5850	UP
ENSG00000264056	134	24	58	8	26	42	14	16	UP
ENSG00000217527	9	9	10	3	10	14	12	16	UP
ENSG00000271367	0	2	2	0	1	1	0	0	UP
ENSG00000001084	2744	3631	3350	815	4687	2451	4089	2933	UP
ENSG00000249379	64	62	74	24	91	61	99	62	UP
ENSG00000235899	2	2	2	0	3	0	0	0	UP
ENSG00000124743	15	16	6	2	22	6	5	5	UP
ENSG00000227885	14	3	2	0	1	0	0	0	UP
ENSG00000228614	6	2	1	1	1	0	0	1	UP
ENSG00000137269	245	362	94	20	52	60	264	192	UP
ENSG00000271218	12	11	4	1	3	0	7	11	UP
ENSG00000151914	60	186	46	26	39	93	6	4	UP
ENSG00000151917	0	4	2	3	1	1	0	0	UP
ENSG00000168116	279	771	438	121	128	272	663	484	UP
ENSG00000112200	3722	7804	5211	1253	2853	2858	7144	5492	UP
ENSG00000226803	194	286	191	33	170	152	270	221	UP
ENSG00000112208	194	687	408	90	571	343	506	375	UP
ENSG00000112210	40	82	55	16	94	28	79	60	UP
ENSG00000146143	284	308	116	38	204	153	311	181	UP
ENSG00000266579	2	3	1	0	1	1	1	1	UP
ENSG00000272541	19	12	1	1	14	3	4	4	UP
ENSG00000271761	2	3	0	0	1	1	0	0	UP
ENSG00000272316	370	369	279	57	132	121	274	197	UP
ENSG00000239650	16	4	1	0	1	2	5	1	UP
ENSG00000215190	247	314	87	21	66	151	267	227	UP
ENSG00000279892	2	0	0	0	1	2	1	0	UP
ENSG00000250686	67	13	16	7	73	26	17	12	UP
ENSG00000112232	531	205	216	55	280	235	251	166	UP
ENSG00000198225	4	20	4	1	0	9	8	5	UP
ENSG00000146166	0	4	34	2	0	0	0	0	UP
ENSG00000218274	0	0	1	1	0	1	0	0	UP
ENSG00000218048	0	0	7	3	0	0	0	0	UP
ENSG00000112245	4673	6455	4538	990	5008	3916	9189	7020	UP
ENSG00000266680	24	6	4	3	4	2	4	5	UP
ENSG00000213309	2	8	2	1	3	1	6	3	UP
ENSG00000118482	12080	11003	4653	995	5966	7220	12566	8504	UP
ENSG00000188107	55	172	56	31	108	51	155	118	UP
ENSG00000236345	0	1	3	0	94	2	4	2	UP
ENSG00000214558	7	4	6	2	3	4	9	8	UP
ENSG00000233859	2	7	1	0	0	1	4	6	UP
ENSG00000168216	3015	5595	1780	447	2261	1886	3690	2707	UP
ENSG00000219085	53	52	15	7	28	27	69	55	UP
ENSG00000219881	259	30	17	1	16	28	31	28	UP
ENSG00000082293	1281	570	838	204	1347	1291	1807	1354	UP
ENSG00000112280	11	23	6	0	22	7	9	8	UP
ENSG00000082269	256	714	266	65	291	159	436	287	UP
ENSG00000154079	174	203	129	23	33	42	86	64	UP
ENSG00000271967	24	14	19	1	3	4	19	8	UP
ENSG00000232389	1	6	0	0	0	0	4	2	UP
ENSG00000112305	260	490	228	52	222	157	438	306	UP
ENSG00000262803	2	2	2	0	2	2	6	6	UP
ENSG00000217767	0	1	1	0	0	3	7	5	UP
ENSG00000112309	180	179	71	12	80	54	204	139	UP
ENSG00000218350	7	20	7	2	2	6	8	9	UP
ENSG00000232295	31	51	27	2	85	17	73	57	UP
ENSG00000119900	1220	2219	1960	444	1954	1196	4151	3237	UP
ENSG00000233237	0	2	1	0	0	0	0	0	UP
ENSG00000279312	0	0	1	1	0	0	0	0	UP
ENSG00000079841	0	18	1	2	0	1	0	0	UP
ENSG00000185760	1032	252	251	62	1351	502	197	167	UP
ENSG00000233844	2	1	0	0	2	1	0	2	UP
ENSG00000232422	0	3	4	0	3	1	1	2	UP
ENSG00000220515	1	1	1	0	0	1	3	0	UP
ENSG00000229154	8	0	0	0	2	2	0	1	UP
ENSG00000234025	17	1	1	0	0	0	0	1	UP
ENSG00000135314	44	52	13	3	24	11	9	4	UP
ENSG00000229852	177	75	30	5	28	35	38	27	UP
ENSG00000234882	58	18	1	1	18	17	10	16	UP
ENSG00000203907	0	4	0	1	12	0	1	0	UP
ENSG00000235174	310	249	74	18	69	178	250	224	UP
ENSG00000224221	0	4	0	0	15	4	1	1	UP
ENSG00000080007	11	39	10	5	506	260	9	6	UP
ENSG00000164430	187	1381	430	102	181	213	736	514	UP
ENSG00000135297	1639	3543	1998	462	978	1302	2507	1762	UP
ENSG00000271986	6	7	0	0	3	2	2	4	UP
ENSG00000223821	22	17	3	2	5	3	2	12	UP
ENSG00000156508	332396	503882	180540	41837	193951	184138	436650	314204	UP
ENSG00000229862	9	8	6	1	8	8	9	6	UP
ENSG00000119899	278	741	234	49	264	309	577	395	UP
ENSG00000218459	4	6	1	0	0	0	2	2	UP
ENSG00000156535	8	169	130	42	58	37	20	6	UP
ENSG00000111799	4	48	9	2	14	5	14	10	UP
ENSG00000112695	1542	2844	1547	395	473	631	1374	880	UP
ENSG00000112697	3424	6889	5280	1293	1685	2889	6406	4617	UP
ENSG00000225793	25	15	21	2	5	5	3	2	UP
ENSG00000118407	18	19	20	2	7	8	4	6	UP
ENSG00000112701	5928	7352	5162	1130	6971	4514	7826	5466	UP
ENSG00000217488	15	4	2	0	2	7	10	9	UP
ENSG00000252498	118	46	40	9	62	70	63	54	UP
ENSG00000200091	48	8	9	2	5	8	10	14	UP
ENSG00000196586	239	126	103	24	96	299	48	41	UP
ENSG00000112706	4	3	2	1	3	3	1	1	UP
ENSG00000146243	95	140	110	33	17	35	89	84	UP
ENSG00000146247	12589	15037	7207	1656	9035	6299	15370	11262	UP
ENSG00000217512	10	8	6	3	5	4	12	9	UP
ENSG00000118418	2153	1448	1235	276	475	534	558	332	UP
ENSG00000270362	25	50	42	13	4	8	19	13	UP
ENSG00000220154	2	1	0	0	0	0	0	1	UP
ENSG00000135338	0	10	87	23	0	2	0	1	UP
ENSG00000198478	2	26	50	10	14	31	3	2	UP
ENSG00000112742	61	70	115	25	8	11	41	29	UP
ENSG00000218418	60	27	8	5	12	6	19	17	UP
ENSG00000083123	326	252	93	22	76	103	157	125	UP
ENSG00000272129	11	8	3	0	0	5	5	4	UP
ENSG00000219547	0	7	0	0	0	1	2	1	UP
ENSG00000279022	19	2	1	0	3	4	6	7	UP
ENSG00000233967	49	15	13	2	14	17	7	6	UP
ENSG00000260645	48	26	6	3	7	12	13	7	UP
ENSG00000219361	3	5	1	1	1	1	1	3	UP
ENSG00000112773	616	602	1121	233	214	354	549	363	UP
ENSG00000226089	3	1	3	1	1	0	0	0	UP
ENSG00000232031	3	0	1	0	0	0	0	0	UP
ENSG00000005700	1999	4421	1402	355	1258	1143	3878	2864	UP
ENSG00000223044	5	9	5	0	2	1	13	14	UP
ENSG00000146242	0	4	8	2	2	2	0	1	UP
ENSG00000118420	113	189	62	15	78	52	140	101	UP
ENSG00000220091	2	0	0	0	0	1	1	0	UP
ENSG00000227215	7	4	1	1	0	1	1	3	UP
ENSG00000083097	2505	4993	2400	565	2027	1486	4751	3229	UP
ENSG00000281446	5	5	1	1	2	0	4	2	UP
ENSG00000013375	946	1927	1369	345	620	863	2559	1867	UP
ENSG00000013392	160	301	64	14	27	74	191	136	UP
ENSG00000065833	1	10	1	0	1	1	0	0	UP
ENSG00000065615	2385	2742	2044	500	1741	1042	2310	1580	UP
ENSG00000228679	19	5	7	0	47	2	11	10	UP
ENSG00000135324	0	5	0	1	27	0	0	2	UP
ENSG00000135315	446	1307	513	110	433	205	710	485	UP
ENSG00000234155	0	1	1	0	4	1	0	0	UP
ENSG00000214460	11	9	2	1	4	7	5	14	UP
ENSG00000135318	16	57	223	49	50	69	23	15	UP
ENSG00000280232	6	1	2	1	4	0	2	6	UP
ENSG00000135317	2171	4240	1577	335	1651	1199	3435	2513	UP
ENSG00000135316	4825	9847	6484	1528	3821	5592	12162	8665	UP
ENSG00000220563	9	88	61	13	530	46	139	75	UP
ENSG00000203875	2293	6668	3290	802	6526	2465	3463	2114	UP
ENSG00000217769	3	1	1	2	1	0	2	4	UP
ENSG00000272008	71	52	22	9	31	42	29	13	UP
ENSG00000188994	9176	10970	5279	1250	5037	7209	11043	8214	UP
ENSG00000218313	2	6	2	0	1	3	4	9	UP
ENSG00000164411	12	8	5	2	40	4	38	24	UP
ENSG00000216990	5	11	5	2	116	5	13	15	UP
ENSG00000111850	579	352	173	37	79	104	311	227	UP
ENSG00000203872	140	76	40	10	32	24	78	44	UP
ENSG00000279616	10	7	0	0	0	2	9	7	UP
ENSG00000272514	3	0	2	0	1	2	0	0	UP
ENSG00000213204	44	159	74	18	39	31	101	92	UP
ENSG00000164414	190	557	310	63	81	95	490	328	UP
ENSG00000206715	2	4	2	0	7	2	4	8	UP
ENSG00000146282	1338	2485	1754	399	932	917	2334	1642	UP
ENSG00000135336	748	998	575	141	423	345	684	506	UP
ENSG00000135334	2317	2521	2425	574	1127	1042	3553	2314	UP
ENSG00000118432	154	31	224	51	100	24	4633	3606	UP
ENSG00000279565	84	4	19	5	11	10	66	55	UP
ENSG00000111880	2412	1979	1276	313	1536	761	3156	2222	UP
ENSG00000220960	5	6	0	1	3	4	5	5	UP
ENSG00000271931	0	0	0	1	0	0	2	0	UP
ENSG00000146278	4878	9995	6395	1470	11328	5445	6866	4878	UP
ENSG00000264017	5	10	6	1	63	7	18	7	UP
ENSG00000154548	4	55	25	5	260	28	50	33	UP
ENSG00000146281	667	1640	661	148	1690	398	998	671	UP
ENSG00000111886	326	103	79	15	172	133	111	73	UP
ENSG00000198833	6218	2444	2533	627	1520	2878	2419	1733	UP
ENSG00000025039	41	54	25	8	16	49	39	22	UP
ENSG00000135299	115	156	53	14	121	125	297	187	UP
ENSG00000237027	0	2	0	0	2	0	2	3	UP
ENSG00000083099	1712	1995	1064	238	428	666	1242	842	UP
ENSG00000112159	6152	19181	6259	1483	3213	3522	8940	6299	UP
ENSG00000228124	8	8	4	1	1	4	4	3	UP
ENSG00000217653	7	16	2	3	1	2	0	9	UP
ENSG00000118412	1722	4031	1885	463	1346	1200	2572	1821	UP
ENSG00000199630	3	7	1	0	1	2	0	4	UP
ENSG00000112182	16133	18553	10234	2368	29761	8772	16887	12245	UP
ENSG00000226455	191	133	68	9	87	86	93	72	UP
ENSG00000222078	52	10	8	2	11	19	12	22	UP
ENSG00000218730	38	10	8	1	12	16	7	7	UP
ENSG00000260271	35	9	15	5	11	17	11	6	UP
ENSG00000135341	2140	5450	2838	704	1776	1838	3134	2221	UP
ENSG00000261366	113	56	45	4	13	36	29	27	UP
ENSG00000172469	304	761	356	94	202	281	623	512	UP
ENSG00000233797	5	0	1	0	2	2	1	1	UP
ENSG00000014123	3329	5026	2800	640	1456	1983	2964	2060	UP
ENSG00000112218	5	78	15	4	6	22	10	10	UP
ENSG00000123545	235	909	580	126	146	334	773	497	UP
ENSG00000186231	215	114	37	9	114	83	199	105	UP
ENSG00000146263	1022	545	284	59	452	432	427	291	UP
ENSG00000184486	3	5	3	1	18	2	5	6	UP
ENSG00000112234	1158	1756	504	124	604	662	1344	1053	UP
ENSG00000132423	85	143	104	22	206	51	110	87	UP
ENSG00000132424	29730	34049	20657	4725	15854	13862	22831	16002	UP
ENSG00000228506	198	220	66	16	73	67	82	66	UP
ENSG00000123552	2756	3105	1431	337	1447	1102	1624	1173	UP
ENSG00000228439	58	43	17	5	11	16	52	23	UP
ENSG00000112237	2132	2850	1618	418	1079	1326	2154	1609	UP
ENSG00000272017	17	12	4	0	2	4	5	5	UP
ENSG00000219755	10	13	1	1	1	2	10	7	UP
ENSG00000279170	16	4	1	1	5	0	8	10	UP
ENSG00000112249	2789	3008	1329	314	2183	1615	2645	1898	UP
ENSG00000220695	13	11	0	0	4	0	4	7	UP
ENSG00000260000	30	27	35	13	7	3	16	15	UP
ENSG00000270987	26	59	31	5	18	40	49	25	UP
ENSG00000164418	0	7	2	1	0	1	2	0	UP
ENSG00000085382	611	1904	456	119	295	294	938	707	UP
ENSG00000272102	4	13	2	0	4	4	18	11	UP
ENSG00000085377	663	1624	404	101	347	386	1192	856	UP
ENSG00000231628	164	122	76	12	22	29	96	77	UP
ENSG00000216639	10	18	1	1	11	4	11	9	UP
ENSG00000219902	3	4	1	0	3	2	3	5	UP
ENSG00000057663	437	992	537	129	486	308	779	539	UP
ENSG00000057657	296	399	45	12	255	531	85	63	UP
ENSG00000269919	11	3	0	0	1	1	0	0	UP
ENSG00000112297	9564	8402	2949	633	2140	4801	8183	5731	UP
ENSG00000130347	385	311	99	19	88	127	134	87	UP
ENSG00000130348	3297	2646	1724	431	1097	1083	2687	1933	UP
ENSG00000216977	13	13	4	1	6	10	18	10	UP
ENSG00000229654	12	6	11	2	6	6	14	6	UP
ENSG00000235142	23	5	22	3	14	5	27	18	UP
ENSG00000272398	1998	2427	4178	930	4299	1996	11345	8222	UP
ENSG00000130349	290	333	198	47	161	159	220	130	UP
ENSG00000178409	155	383	157	35	72	146	436	339	UP
ENSG00000164494	554	505	144	36	256	229	226	188	UP
ENSG00000276620	2	2	0	0	0	2	1	0	UP
ENSG00000220237	1	1	0	1	2	0	1	1	UP
ENSG00000112320	354	503	73	17	85	59	72	47	UP
ENSG00000234206	11	7	3	1	0	2	3	2	UP
ENSG00000280135	450	104	158	21	107	143	71	78	UP
ENSG00000146285	958	394	387	67	145	392	235	159	UP
ENSG00000025796	2876	4269	2545	558	2227	2036	3966	2613	UP
ENSG00000238420	1	1	0	0	0	1	0	0	UP
ENSG00000232778	3	13	1	0	2	1	4	6	UP
ENSG00000272476	3	9	6	2	4	1	5	4	UP
ENSG00000225093	56	37	11	6	14	27	51	54	UP
ENSG00000271734	2	18	4	1	4	7	10	6	UP
ENSG00000081087	877	2893	1250	272	559	684	2128	1616	UP
ENSG00000238490	2	5	0	0	0	1	5	4	UP
ENSG00000112335	4834	4628	3023	730	1140	1521	3485	2153	UP
ENSG00000135537	249	247	60	10	102	72	148	98	UP
ENSG00000238055	0	0	1	0	0	0	0	0	UP
ENSG00000118689	917	1756	1724	389	2221	1431	2023	1459	UP
ENSG00000203801	2	0	2	0	13	1	5	4	UP
ENSG00000118690	117	268	171	38	103	207	140	115	UP
ENSG00000228834	1	6	3	1	0	5	5	1	UP
ENSG00000230290	4	20	0	0	5	2	5	1	UP
ENSG00000080546	649	1774	848	175	980	830	1050	808	UP
ENSG00000271730	24	30	18	2	15	16	17	15	UP
ENSG00000183137	190	480	167	37	66	76	167	109	UP
ENSG00000203799	36	278	76	24	38	23	47	49	UP
ENSG00000218632	2	6	2	0	1	1	3	2	UP
ENSG00000135535	10726	20732	14307	3321	5713	7420	15926	11300	UP
ENSG00000260273	36	32	38	4	28	25	46	19	UP
ENSG00000185250	12	84	164	49	163	25	165	112	UP
ENSG00000135587	515	1303	1328	274	273	855	1135	859	UP
ENSG00000135596	17245	29335	12377	2824	5551	7906	11102	8677	UP
ENSG00000112365	2087	6672	4202	965	1142	2618	4518	3334	UP
ENSG00000223537	26	23	3	0	29	11	7	7	UP
ENSG00000155085	782	875	246	53	521	503	382	233	UP
ENSG00000112367	2222	2809	580	128	408	468	1010	736	UP
ENSG00000232311	21	27	6	4	3	10	11	14	UP
ENSG00000112290	347	844	178	33	56	28	732	486	UP
ENSG00000168438	2679	5044	2402	552	1353	1726	2813	2090	UP
ENSG00000053328	4	7	0	0	1	1	0	1	UP
ENSG00000203797	2	3	11	0	1	0	0	0	UP
ENSG00000004809	4	13	111	28	0	1	1	1	UP
ENSG00000155111	2213	2941	900	194	1258	817	1475	1090	UP
ENSG00000213150	5	2	1	0	0	0	1	3	UP
ENSG00000213149	28	70	21	4	13	12	29	15	UP
ENSG00000271607	7	21	8	1	4	2	6	4	UP
ENSG00000123505	3656	5223	5726	1326	15590	5774	9054	6420	UP
ENSG00000155115	496	994	817	221	193	408	917	664	UP
ENSG00000197498	259	861	357	61	295	358	685	443	UP
ENSG00000112394	7	45	91	17	13	112	8	1	UP
ENSG00000173214	412	594	387	72	131	242	485	335	UP
ENSG00000230177	68	97	61	18	21	52	54	51	UP
ENSG00000271789	17	33	12	3	9	12	29	20	UP
ENSG00000009413	2366	6960	2862	644	2715	1384	6007	4201	UP
ENSG00000272356	200	220	121	21	67	38	167	126	UP
ENSG00000220392	12	6	1	0	7	1	9	3	UP
ENSG00000229276	2	3	0	0	0	1	5	3	UP
ENSG00000218676	4	7	3	0	18	3	6	5	UP
ENSG00000231889	207	327	133	26	135	96	193	169	UP
ENSG00000220506	11	16	1	0	3	5	5	5	UP
ENSG00000056972	811	806	684	173	312	426	1347	892	UP
ENSG00000255389	109	190	64	14	154	27	123	85	UP
ENSG00000010810	3311	2951	522	125	1437	4068	2289	1670	UP
ENSG00000112761	5	22	34	8	4	4	13	12	UP
ENSG00000074935	800	2691	1456	326	604	993	1513	1107	UP
ENSG00000203778	11	58	89	25	43	104	27	20	UP
ENSG00000112769	0	30	5	5	7	1	1	0	UP
ENSG00000219773	5	5	0	0	0	0	6	0	UP
ENSG00000225580	5	6	1	2	0	1	5	5	UP
ENSG00000218208	11	17	2	0	8	6	9	8	UP
ENSG00000230943	2	18	11	4	1	5	1	2	UP
ENSG00000277443	1266	2778	1070	245	247	928	1644	1101	UP
ENSG00000227502	4	6	4	2	0	3	10	6	UP
ENSG00000196591	2080	3874	2288	480	1051	1379	3905	2765	UP
ENSG00000228624	13	26	8	1	4	7	13	5	UP
ENSG00000111816	586	9	14	8	3	6	84	76	UP
ENSG00000178425	1916	1933	700	150	404	374	1338	911	UP
ENSG00000123500	24	34	16	4	5	20	25	24	UP
ENSG00000218428	10	5	7	1	0	4	7	3	UP
ENSG00000187189	1224	1607	1043	233	391	901	1225	801	UP
ENSG00000111817	159	383	274	64	391	485	160	124	UP
ENSG00000237021	6	13	8	0	54	11	12	8	UP
ENSG00000233558	3	4	5	1	20	3	3	2	UP
ENSG00000189241	3221	6233	3111	703	1627	4889	6102	4153	UP
ENSG00000240050	5	4	15	2	2	5	3	5	UP
ENSG00000217241	4	5	4	0	6	3	4	5	UP
ENSG00000188820	411	129	204	48	119	114	36	24	UP
ENSG00000173626	0	3	2	1	0	0	0	0	UP
ENSG00000178033	0	4	0	0	2	1	1	0	UP
ENSG00000111832	856	1276	999	238	482	636	1060	736	UP
ENSG00000111834	52	53	115	22	49	62	67	53	UP
ENSG00000153975	982	1380	1064	240	662	869	1497	1038	UP
ENSG00000196911	3585	4072	2315	528	2127	2211	3296	2447	UP
ENSG00000164465	24	42	112	33	18	41	73	61	UP
ENSG00000047932	1670	3629	2133	490	777	991	2762	2027	UP
ENSG00000153989	1130	1766	1245	294	601	1269	1711	1242	UP
ENSG00000196376	4	5	3	0	10	1	3	1	UP
ENSG00000230202	1278	304	103	20	70	150	291	223	UP
ENSG00000216809	44	78	49	10	41	33	64	27	UP
ENSG00000111860	4536	2818	3089	693	2840	2793	3105	2180	UP
ENSG00000169075	16	14	2	0	7	7	14	15	UP
ENSG00000198523	13	6	1	4	3	3	12	9	UP
ENSG00000225549	4	9	5	1	12	5	22	15	UP
ENSG00000111877	2331	2324	911	237	946	850	2064	1422	UP
ENSG00000111875	457	1390	489	89	398	353	1014	683	UP
ENSG00000253194	3	2	1	0	0	0	2	2	UP
ENSG00000111879	14	149	4	2	5	37	19	16	UP
ENSG00000111885	2132	9152	8826	2008	6569	1059	8258	6443	UP
ENSG00000216316	12	26	12	2	8	3	19	12	UP
ENSG00000200732	3	3	1	0	2	1	0	2	UP
ENSG00000146350	605	663	326	84	326	294	374	248	UP
ENSG00000025156	812	1211	568	120	624	579	1191	901	UP
ENSG00000279453	306	676	397	85	202	188	629	505	UP
ENSG00000111897	11583	12888	6566	1586	6234	8836	15379	11185	UP
ENSG00000275339	582	112	58	13	27	45	171	101	UP
ENSG00000135549	18	5	1	0	7	3	2	1	UP
ENSG00000279114	8	8	5	2	4	2	1	3	UP
ENSG00000272472	3	0	0	0	0	0	0	0	UP
ENSG00000172594	40	100	1	0	64	81	9	7	UP
ENSG00000188580	0	3	1	0	5	0	0	0	UP
ENSG00000146373	23	10	37	6	0	14	3	2	UP
ENSG00000111907	0	12	7	1	4	7	14	9	UP
ENSG00000111906	565	772	300	79	103	225	413	290	UP
ENSG00000111912	1757	560	467	105	737	604	2026	1481	UP
ENSG00000232131	0	1	0	0	1	1	1	3	UP
ENSG00000111911	904	1132	634	128	322	443	871	651	UP
ENSG00000066651	1039	1352	893	219	603	667	954	758	UP
ENSG00000231842	16	1	4	1	3	1	4	6	UP
ENSG00000213133	1	2	0	0	1	1	1	2	UP
ENSG00000203760	20	39	42	16	1	6	11	7	UP
ENSG00000118518	2588	3598	2000	429	931	1067	3626	2430	UP
ENSG00000093144	1113	1853	1275	246	368	515	1136	774	UP
ENSG00000251768	12	12	12	1	2	13	7	9	UP
ENSG00000213131	4	10	13	3	2	8	11	21	UP
ENSG00000220744	11	13	3	2	0	8	20	5	UP
ENSG00000255330	1	0	0	0	2	0	0	0	UP
ENSG00000189367	7	0	1	0	0	2	0	0	UP
ENSG00000184530	3	7	2	0	0	1	0	0	UP
ENSG00000172673	147	99	0	0	0	148	1	2	UP
ENSG00000152894	5	14	4	3	1	13	0	0	UP
ENSG00000196569	8	42	10	10	1	18	4	0	UP
ENSG00000219642	5	8	1	1	0	1	0	1	UP
ENSG00000146376	242	119	59	12	66	80	77	68	UP
ENSG00000203756	1	2	0	0	0	2	0	0	UP
ENSG00000198945	1059	1078	223	56	401	565	609	420	UP
ENSG00000227678	38	40	7	4	2	10	11	12	UP
ENSG00000164483	152	112	4	5	26	103	10	5	UP
ENSG00000164484	26	4	4	2	14	14	1	0	UP
ENSG00000079819	104	347	533	118	72	76	1046	683	UP
ENSG00000118507	57	20	134	30	54	52	150	93	UP
ENSG00000118520	169	87	76	23	18	28	73	68	UP
ENSG00000112282	4158	7829	4786	1107	2900	4034	5802	4266	UP
ENSG00000154269	6	15	23	10	28	15	2	2	UP
ENSG00000180658	0	2	0	0	0	0	0	0	UP
ENSG00000236761	0	10	0	0	0	0	0	0	UP
ENSG00000197594	2	68	146	37	567	30	2	6	UP
ENSG00000118523	0	3	1	0	5	3	3	2	UP
ENSG00000228495	0	0	1	1	1	0	0	0	UP
ENSG00000079931	8	9	3	2	0	0	37	27	UP
ENSG00000079950	12503	12723	4407	965	4101	5341	7827	5689	UP
ENSG00000146383	0	2	0	1	0	1	0	0	UP
ENSG00000112299	35	5	1	1	11	7	6	7	UP
ENSG00000093134	70	73	15	1	44	28	6	8	UP
ENSG00000112303	1872	754	220	41	378	489	64	39	UP
ENSG00000234484	61	25	1	1	3	6	1	1	UP
ENSG00000146409	2490	2589	1514	344	1507	1365	1194	854	UP
ENSG00000112306	40005	62782	28738	6577	23661	21843	43278	29258	UP
ENSG00000206754	58	55	37	5	48	29	64	45	UP
ENSG00000221500	101	70	47	17	49	18	75	65	UP
ENSG00000200534	170	119	104	24	155	57	132	86	UP
ENSG00000028839	757	1254	897	203	643	820	1152	755	UP
ENSG00000146411	2	9	4	4	6	2	9	5	UP
ENSG00000118515	3133	781	342	85	2900	981	315	200	UP
ENSG00000118514	50	43	33	7	99	23	76	43	UP
ENSG00000112339	1776	2483	1638	374	1037	1225	3207	2271	UP
ENSG00000283409	12	9	12	1	4	7	19	19	UP
ENSG00000232876	1	1	0	1	1	0	1	1	UP
ENSG00000118513	40	127	453	97	104	101	158	113	UP
ENSG00000236703	1	2	0	1	1	0	2	4	UP
ENSG00000135541	1839	4571	1943	459	2195	1293	7207	4924	UP
ENSG00000234084	146	258	89	18	153	57	467	354	UP
ENSG00000231028	13	20	9	3	6	9	20	12	UP
ENSG00000171408	148	720	9	1	139	79	614	387	UP
ENSG00000237596	13	14	0	0	6	10	14	19	UP
ENSG00000146410	116	135	124	24	566	74	73	55	UP
ENSG00000029363	17253	18814	11461	2531	8379	11574	21373	15200	UP
ENSG00000260418	2	1	4	0	14	1	11	8	UP
ENSG00000135525	8	118	90	17	87	26	270	173	UP
ENSG00000272189	3	11	1	0	2	2	5	0	UP
ENSG00000197442	3146	5206	1647	387	2271	2433	2466	1760	UP
ENSG00000234263	10	16	11	2	10	9	11	9	UP
ENSG00000212242	11	11	8	0	8	11	11	5	UP
ENSG00000112357	122	126	129	30	48	56	85	57	UP
ENSG00000213109	7	4	1	0	3	0	0	4	UP
ENSG00000182747	0	2	0	1	1	0	2	1	UP
ENSG00000027697	1691	2856	1328	301	1065	1602	2541	1704	UP
ENSG00000237499	221	211	125	25	55	301	84	59	UP
ENSG00000118503	9469	13109	4158	1021	5217	29914	4663	3408	UP
ENSG00000112378	19	28	20	4	9	115	20	21	UP
ENSG00000112379	1	33	4	3	0	1	4	0	UP
ENSG00000051620	2050	4515	2317	566	826	993	3950	2667	UP
ENSG00000135540	14	24	19	5	5	4	16	8	UP
ENSG00000225177	3	2	2	0	2	2	2	1	UP
ENSG00000279968	23	8	6	2	12	13	8	3	UP
ENSG00000024862	849	1283	707	163	819	740	591	374	UP
ENSG00000203734	38	60	16	7	37	19	42	29	UP
ENSG00000135597	1928	2691	1285	280	1004	1071	2314	1677	UP
ENSG00000146386	386	697	525	122	103	202	268	179	UP
ENSG00000112406	5894	6640	4161	912	4865	6028	8542	6387	UP
ENSG00000231329	238	144	69	13	42	82	179	124	UP
ENSG00000272446	14	13	12	5	12	12	3	2	UP
ENSG00000164440	836	581	761	167	268	402	206	153	UP
ENSG00000226571	852	318	272	58	208	218	133	83	UP
ENSG00000218565	121	64	21	3	33	51	7	5	UP
ENSG00000164442	1107	963	1019	247	3841	1181	1034	641	UP
ENSG00000238099	90	13	15	4	56	65	32	24	UP
ENSG00000219806	1	0	1	0	4	1	2	0	UP
ENSG00000205695	104	11	6	2	15	8	3	11	UP
ENSG00000234147	2	0	1	0	0	0	0	0	UP
ENSG00000270983	0	1	3	1	0	2	1	1	UP
ENSG00000009844	1027	2111	1182	260	712	992	1748	1176	UP
ENSG00000112414	1	28	14	8	5	0	0	2	UP
ENSG00000010818	6852	21186	13821	3184	10519	5543	18102	13610	UP
ENSG00000237851	19	8	6	3	9	10	15	11	UP
ENSG00000224460	15	76	41	15	5	8	52	33	UP
ENSG00000232618	29	39	38	3	13	11	32	18	UP
